City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,ulanhot,46.0833,122.0833,263.26,61,4,6.15,CN,1701330392
170,fauske,67.2588,15.3918,269.69,75,93,3.12,NO,1701330464
171,tucurui,-3.7661,-49.6725,296.09,94,0,1.79,BR,1701330464
172,danilovgrad,42.5538,19.1461,286.76,82,82,1.36,ME,1701330464
173,masterton,-40.9597,175.6575,286.42,86,73,1.19,NZ,1701330464
174,ilulissat,69.2167,-51.1,278.16,52,75,2.57,GL,1701330464
175,el granada,37.5027,-122.4694,285.69,89,0,0.0,US,1701330464
176,keningau,5.3378,116.1602,299.64,92,100,1.58,MY,1701330332
177,bhamo,24.2667,97.2333,301.78,37,0,0.66,MM,1701330465
178,turkmenbasy,40.0222,52.9552,285.58,50,0,6.17,TM,1701330465
179,de aar,-30.6497,24.0123,296.25,19,6,6.45,ZA,1701330465
180,chala,-7.5833,31.2667,294.5,71,91,1.44,TZ,1701330465
181,homer,59.6425,-151.5483,276.08,82,40,2.57,US,1701330465
182,selfoss,63.9331,-20.9971,272.39,80,45,3.47,IS,1701330465
183,aswan,24.0934,32.907,293.76,34,0,3.09,EG,1701330465
184,andapa,-14.65,49.65,305.03,49,56,1.87,MG,1701330466
185,khandyga,62.6667,135.6,247.92,99,100,1.58,RU,1701330466
186,zaozersk,69.4005,32.4476,271.81,98,100,5.4,RU,1701330252
187,bikenibeu village,1.3673,173.1241,302.13,79,75,3.09,KI,1701330466
188,monrovia,6.3005,-10.7969,298.02,87,100,2.19,LR,1701330466
189,humaita,-7.5061,-63.0208,296.85,97,100,0.5,BR,1701330274
190,inari,68.906,27.0288,271.26,97,100,4.29,FI,1701330466
191,dordrecht,51.81,4.6736,274.83,94,96,0.45,NL,1701330467
192,swakopmund,-22.6833,14.5333,292.58,81,64,3.13,NA,1701330467
193,urumqi,43.801,87.6005,270.68,86,75,2.0,CN,1701330367
194,pantai remis,4.4557,100.6288,304.16,88,93,3.02,MY,1701330467
195,mahibadhoo,3.7833,72.9667,301.54,72,41,2.45,MV,1701330467
196,kone,-21.0595,164.8658,298.71,72,94,1.33,NC,1701330467
197,al muwayh,22.4333,41.7583,298.71,29,0,8.14,SA,1701330467
198,cabo san lucas,22.8909,-109.9124,297.46,81,98,2.24,MX,1701330468
199,palikir - national government center,6.9248,158.1611,301.56,74,75,2.57,FM,1701330468
200,kapuskasing,49.4169,-82.4331,272.2,80,100,5.66,CA,1701330468
201,zalingei,12.9096,23.4741,301.17,20,54,1.5,SD,1701330468
202,santa maria da vitoria,-13.3947,-44.1886,298.24,49,94,0.5,BR,1701330468
203,zambezi,-13.5432,23.1047,292.41,97,100,2.57,ZM,1701330468
204,sandpoint,48.2766,-116.5533,271.33,83,100,0.45,US,1701330240
205,matoury,4.8483,-52.3317,297.13,94,20,0.0,GF,1701330468
206,tchintabaraden,15.8969,5.7985,300.2,15,82,5.41,NE,1701330469
207,east ballina,-28.8667,153.5833,300.4,44,76,4.42,AU,1701330469
208,belozersk,60.0326,37.7957,264.81,94,100,4.02,RU,1701330469
209,opuwo,-18.0607,13.84,299.56,39,100,2.13,NA,1701330469
210,san rafael,-34.6177,-68.3301,290.79,48,0,2.11,AR,1701330469
211,beipiao,41.7919,120.7792,267.43,36,0,4.17,CN,1701330469
212,forster,-32.1667,152.5167,298.92,61,83,3.74,AU,1701330469
213,necochea,-38.5473,-58.7368,288.56,55,0,3.17,AR,1701330469
214,ko pha ngan,9.7578,100.0291,299.53,75,100,2.43,TH,1701330470
215,renfrew,55.872,-4.3925,272.68,87,58,0.51,GB,1701330470
216,nyurba,63.2842,118.3319,259.97,93,100,5.55,RU,1701330470
217,kapa'a,22.0752,-159.319,296.33,85,40,4.63,US,1701330470
218,noumea,-22.2763,166.4572,300.14,77,2,4.74,NC,1701330470
219,suva,-18.1416,178.4415,300.86,78,40,2.06,FJ,1701330470
220,lompoc,34.6391,-120.4579,285.33,90,40,2.57,US,1701330470
221,haiku-pauwela,20.9219,-156.3051,298.99,91,40,2.57,US,1701330471
222,bakchar,57.0186,82.0711,270.94,78,100,1.82,RU,1701330471
223,kenora,49.8167,-94.4337,271.69,86,75,3.6,CA,1701330471
224,paradip garh,20.3167,86.6167,301.55,50,13,5.36,IN,1701330471
225,an nuhud,12.7,28.4333,303.14,18,99,8.89,SD,1701330471
226,chivilcoy,-34.8957,-60.0167,287.91,88,0,1.72,AR,1701330471
227,fale old settlement,-9.3852,-171.2468,302.47,72,13,7.51,TK,1701330471
228,qamdo,31.1667,97.2333,275.27,28,64,1.89,CN,1701330471
229,ao luek,8.378,98.7212,302.22,76,100,1.71,TH,1701330472
230,tadine,-21.55,167.8833,296.29,76,2,4.2,NC,1701330472
231,lebu,-37.6167,-73.65,284.42,93,11,5.88,CL,1701330472
232,chandbali,20.7833,86.7667,302.66,42,16,4.18,IN,1701330472
233,la'ie,21.6477,-157.9253,295.81,84,81,3.42,US,1701330472
234,dongola,19.1667,30.4833,301.2,15,0,5.06,SD,1701330472
235,tolanaro,-25.0319,46.9987,302.19,70,40,3.09,MG,1701330472
236,st. john's,47.5649,-52.7093,271.92,92,100,6.69,CA,1701330464
237,gunjur,13.2019,-16.7339,294.19,68,0,0.0,GM,1701330473
238,ar ruways,24.1103,52.7306,297.82,54,0,7.28,AE,1701330473
239,livingstone,-17.8419,25.8543,302.12,41,88,3.52,ZM,1701330473
240,gadzhiyevo,69.2551,33.3362,271.42,95,100,4.22,RU,1701330473
241,anadyr,64.75,177.4833,270.43,86,75,10.0,RU,1701330473
242,auki,-8.7676,160.7034,300.26,86,100,1.67,SB,1701330473
243,olonkinbyen,70.9221,-8.7187,271.73,88,93,7.11,SJ,1701330474
244,puerto penasco,31.3167,-113.5333,290.95,49,0,3.14,MX,1701330474
245,marka,1.7159,44.7717,303.93,56,38,6.32,SO,1701330474
246,akureyri,65.6835,-18.0878,274.11,80,75,3.6,IS,1701330474
247,susuman,62.7833,148.1667,246.46,100,100,0.91,RU,1701330474
248,akhisar,38.9185,27.8401,286.99,100,75,3.09,TR,1701330474
249,guardo,42.7897,-4.8482,281.29,95,100,4.53,ES,1701330474
250,jianshui,23.6363,102.8264,293.81,55,100,1.5,CN,1701330474
251,turtas,58.9417,69.1325,265.77,83,100,1.95,RU,1701330475
252,murzuq,25.9155,13.9184,292.29,20,0,2.35,LY,1701330475
253,sheksna,59.21,38.5107,266.13,91,100,6.98,RU,1701330271
254,palmeiras de goias,-16.805,-49.9258,293.82,76,31,1.05,BR,1701330475
255,severo-yeniseyskiy,60.3725,93.0408,267.91,95,99,0.89,RU,1701330475
256,biograd na moru,43.9433,15.4519,287.46,66,84,11.41,HR,1701330475
257,baruun-urt,46.6806,113.2792,253.09,89,4,3.86,MN,1701330475
258,gloucester,51.8657,-2.2431,273.95,91,70,0.45,GB,1701330475
259,crane,31.3974,-102.3501,281.96,94,37,9.24,US,1701330476
260,lata,40.1629,-8.3327,288.1,98,100,2.44,PT,1701330476
261,luderitz,-26.6481,15.1594,295.87,56,0,4.85,NA,1701330476
262,san antonio de pale,-1.4014,5.6325,300.12,81,99,2.7,GQ,1701330476
263,richards bay,-28.783,32.0377,296.95,42,37,4.28,ZA,1701330476
264,ujae,8.9322,165.7642,300.94,76,100,6.6,MH,1701330476
265,utrik,11.2278,169.8474,300.92,75,100,8.71,MH,1701330476
266,quellon,-43.1167,-73.6167,284.14,87,100,5.19,CL,1701330477
267,ambodifotatra,-16.9833,49.85,299.95,85,8,7.88,MG,1701330477
268,sao joao da barra,-21.6403,-41.0511,296.58,91,100,5.04,BR,1701330477
269,senanga,-16.1167,23.2667,302.37,45,65,3.5,ZM,1701330477
270,moshkovo,55.3053,83.6104,272.95,74,100,4.26,RU,1701330477
271,kayangel,8.0823,134.7173,301.89,76,100,3.56,PW,1701330477
272,waldkirchen,48.7327,13.6008,272.23,91,100,0.7,DE,1701330477
273,canutama,-6.5339,-64.3831,296.19,97,100,0.71,BR,1701330477
274,tual,-5.6667,132.75,302.21,73,77,3.56,ID,1701330478
275,barentu,15.1139,37.5928,303.49,16,5,6.1,ER,1701330478
276,el calafate,-50.3408,-72.2768,277.68,71,15,8.46,AR,1701330478
277,fort bragg,35.139,-79.006,275.47,75,0,0.0,US,1701330478
278,andreapol',56.6513,32.2664,269.93,94,100,4.23,RU,1701330478
279,toliara,-23.35,43.6667,303.19,58,93,4.74,MG,1701330478
280,fisterra,42.9049,-9.2629,284.12,55,100,6.17,ES,1701330478
281,uliastay,47.7417,96.8444,262.73,68,2,1.74,MN,1701330478
282,ancud,-41.8697,-73.8203,284.26,91,100,4.98,CL,1701330479
283,arraial do cabo,-22.9661,-42.0278,296.39,92,0,3.49,BR,1701330479
284,wynyard,-41.0,145.7167,288.99,66,100,1.45,AU,1701330322
285,gao,16.6362,1.637,300.74,12,31,4.97,ML,1701330479
286,udachny,66.4167,112.4,260.07,92,100,8.61,RU,1701330386
287,cockburn town,21.4612,-71.1419,299.84,74,58,6.62,TC,1701330479
288,afif,23.9065,42.9172,296.64,38,0,8.18,SA,1701330479
289,barra de santo antonio,-9.4047,-35.5072,294.75,81,3,0.38,BR,1701330479
290,nehe,48.4833,124.8333,258.28,91,30,1.94,CN,1701330480
291,san mateo del mar,16.2,-95.0,297.68,80,100,9.15,MX,1701330480
292,mili,6.0815,171.735,300.85,82,100,7.99,MH,1701330480
293,lake havasu city,34.4839,-114.3224,286.18,36,0,0.89,US,1701330480
294,usinsk,65.9939,57.5281,265.97,91,100,2.68,RU,1701330480
295,smithers,54.7804,-127.1743,273.33,80,100,5.66,CA,1701330195
296,bat khela,34.6167,71.9714,288.27,63,100,0.75,PK,1701330256
297,manokwari,-0.8667,134.0833,301.26,76,56,2.41,ID,1701330481
298,montalbano jonico,40.2879,16.5788,276.75,65,48,0.84,IT,1701330481
299,antsiranana,-12.2787,49.2917,305.57,55,40,3.09,MG,1701330481
300,colares,38.7992,-9.4469,290.56,97,100,8.94,PT,1701330481
301,karaton,-6.3424,106.1045,301.88,75,100,1.55,ID,1701330481
302,port douglas,-16.4833,145.4667,300.38,75,100,1.79,AU,1701330481
303,bredasdorp,-34.5322,20.0403,300.94,28,86,3.22,ZA,1701330481
304,mont-dore,-22.2833,166.5833,300.14,78,6,3.77,NC,1701330482
305,naha,26.2125,127.6811,296.53,61,75,9.26,JP,1701330482
306,kristiansund,63.1115,7.732,270.51,74,0,2.57,NO,1701330482
307,bel ombre,-4.6167,55.4167,303.06,70,40,1.54,SC,1701330482
308,kermanshah,34.3142,47.065,282.65,57,20,2.06,IR,1701330483
309,lautoka,-17.6167,177.4667,302.07,74,40,3.09,FJ,1701330483
310,papao,-17.75,-149.55,300.97,88,100,10.46,PF,1701330483
311,tomatlan,19.9333,-105.25,295.27,82,15,1.23,MX,1701330483
312,hakha,22.65,93.6167,293.87,46,2,1.09,MM,1701330483
313,kirensk,57.7853,108.1119,258.13,98,97,0.89,RU,1701330484
314,ahmadpur sial,30.6754,71.7483,299.49,24,7,0.83,PK,1701330255
315,guane,22.2025,-84.0875,293.39,94,77,2.44,CU,1701330484
316,valparaiso,-33.0393,-71.6273,283.95,87,0,0.51,CL,1701330254
317,kuta,-8.7233,115.1723,305.12,62,75,3.6,ID,1701330484
318,campos gerais,-21.235,-45.7586,290.41,96,98,1.21,BR,1701330485
319,hadibu,12.65,54.0333,300.69,59,10,7.03,YE,1701330485
320,kupang,-10.1667,123.5833,307.47,59,40,4.63,ID,1701330485
321,bulungu,-4.55,18.6,297.52,89,100,1.56,CD,1701330485
322,bandarbeyla,9.4942,50.8122,301.58,62,6,11.34,SO,1701330486
323,port macquarie,-31.4333,152.9167,300.31,66,47,2.6,AU,1701330486
324,tamandare,-8.7597,-35.1047,296.83,81,7,1.77,BR,1701330486
325,geraldton,-28.7667,114.6,301.38,57,0,8.23,AU,1701330486
326,laojunmiao,39.8333,97.7333,274.48,26,0,3.17,CN,1701330486
327,shakawe,-18.3667,21.85,301.23,48,91,1.55,BW,1701330486
328,pokhara,28.2333,83.9833,296.01,37,87,1.96,NP,1701330487
329,kulhudhuffushi,6.6221,73.07,301.43,73,91,1.72,MV,1701330487
330,aral,40.5156,81.2636,280.18,32,100,1.74,CN,1701330487
331,calama,-22.4667,-68.9333,281.42,27,0,5.66,CL,1701330411
332,usogorsk,63.4106,48.6872,259.63,100,93,1.09,RU,1701330487
333,alice springs,-23.7,133.8833,297.9,69,87,4.12,AU,1701330450
334,altai,46.3722,96.2583,265.09,43,6,0.85,MN,1701330488
335,starobin,52.7267,27.4606,265.65,93,49,4.4,BY,1701330488
336,arkhangel'sk,64.5401,40.5433,266.21,86,100,2.0,RU,1701330488
337,kodinar,20.7903,70.7031,301.5,40,1,0.86,IN,1701330488
338,mariental,-24.6333,17.9667,305.87,11,0,6.94,NA,1701330488
339,nizhneangarsk,55.7833,109.55,261.48,91,100,1.34,RU,1701330489
340,egilsstadir,65.2653,-14.3948,273.1,100,100,3.6,IS,1701330489
341,pahrump,36.2083,-115.9839,278.85,50,0,0.98,US,1701330400
342,glace bay,46.1969,-59.957,270.25,72,20,6.17,CA,1701330273
343,rio gallegos,-51.6226,-69.2181,280.18,57,0,10.8,AR,1701330390
344,bambui,-20.0064,-45.9769,293.21,83,100,1.14,BR,1701330490
345,kangding,30.0513,101.9603,282.39,60,97,0.9,CN,1701330490
346,strathmore,51.0501,-113.3852,271.96,68,100,1.54,CA,1701330490
347,callao,-12.0667,-77.15,294.1,82,100,3.09,PE,1701330490
348,jerez de garcia salinas,22.65,-103.0,287.74,78,0,2.58,MX,1701330490
349,graaff-reinet,-32.2522,24.5308,294.77,39,16,1.44,ZA,1701330490
350,chonchi,-42.6128,-73.8092,283.77,92,97,2.05,CL,1701330491
351,skiathos,39.1623,23.4909,290.36,70,9,3.09,GR,1701330399
352,point pedro,9.8167,80.2333,300.91,74,86,4.72,LK,1701330491
353,fort st. john,56.2499,-120.8529,266.09,68,0,1.03,CA,1701330491
354,berezovyy,51.6667,135.7,255.26,81,0,1.2,RU,1701330491
355,harper,4.375,-7.7169,299.81,79,79,0.43,LR,1701330491
356,bubaque,11.2833,-15.8333,300.89,58,30,1.72,GW,1701330492
357,ain taya,36.7933,3.2869,283.06,93,17,1.03,DZ,1701330492
358,tapes,-30.6733,-51.3958,293.17,94,43,1.54,BR,1701330492
359,magadan,59.5667,150.8,257.27,87,53,2.01,RU,1701330492
360,lovington,32.944,-103.3485,278.62,97,69,0.45,US,1701330492
361,antalaha,-14.9003,50.2788,302.16,69,40,4.29,MG,1701330492
362,tosontsengel,48.7567,98.2839,256.38,83,0,1.35,MN,1701330493
363,santana,-0.0583,-51.1817,299.25,89,75,1.03,BR,1701330493
364,tver,56.8619,35.8931,270.53,93,100,7.15,RU,1701330493
365,adrian,41.8975,-84.0372,274.92,87,0,2.06,US,1701330480
